file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,train_lens,test_lens,time_steps,if_univariate,size,type_value,anomaly_rate
periodic_data_16_from2020-01-02to2020-01-21_7479.csv,FALSE,TRUE,TRUE,TRUE,FALSE,GAIA,552,4971,5523,TRUE,large,Shapelet,0.008509868
periodic_data_12_from2020-01-02to2020-01-21_7491.csv,FALSE,TRUE,TRUE,TRUE,FALSE,GAIA,554,4989,5543,TRUE,large,Global,0.001623669
NAB_data_Traffic_6.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,563,563,1126,TRUE,large,Shapelet,0.09946714
low_signal-to-noise_ratio_data_47_from2019-11-16to2019-12-09_6461.csv,FALSE,FALSE,FALSE,FALSE,FALSE,GAIA,648,5834,6482,TRUE,large,mix,0.060937982
A-6_682.csv,FALSE,FALSE,FALSE,FALSE,FALSE,NASA-SMAP-new,682,4453,5135,TRUE,large,Shapelet,0.007984421
A-5_705.csv,TRUE,FALSE,FALSE,FALSE,FALSE,NASA-SMAP-new,705,4693,5398,TRUE,large,Shapelet,0.009447944
Yahoo_A1real_1_data.csv,FALSE,FALSE,TRUE,FALSE,FALSE,YAHOO,710,710,1420,TRUE,large,mix,0.001408451
Yahoo_A1real_21_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,710,710,1420,TRUE,large,mix,0.004225352
Yahoo_A1real_23_data.csv,FALSE,FALSE,TRUE,FALSE,FALSE,YAHOO,710,710,1420,TRUE,large,mix,0.013380282
Yahoo_A1real_22_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,710,710,1420,TRUE,large,Shapelet,0.044366197
Yahoo_A1real_8_data.csv,FALSE,FALSE,TRUE,FALSE,FALSE,YAHOO,710,710,1420,TRUE,large,Shapelet,0.007042254
Yahoo_A2synthetic_12_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Contextual,0.00070373
Yahoo_A2synthetic_15_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_18_data.csv,TRUE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_21_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_24_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_27_data.csv,TRUE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_3_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
Yahoo_A2synthetic_30_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,711,710,1421,TRUE,large,Global,0.00070373
